節,開催日,曜日,相手,team_id,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-23,(土),横浜FM,8,2-3,2,3,2,0,パナスタ,27064,晴,56,47,0.075,10,0.2,0.428,11.4,9.75,78.24,14.3,"['小野瀬', '藤春']",宮本　恒靖
2,2019-03-02,(土),清水,11,4-2,4,2,1,1,アイスタ,16710,晴,59,43,0.164,20,0.2,0.613,27.6,23.47,89.12,12.22,"['小野瀬', 'アデミウソンx2', 'ファンウィジョ']",宮本　恒靖
3,2019-03-09,(土),名古屋,12,2-3,2,3,2,0,パナスタ,26865,晴,54,37,0.081,10,0.1,0.503,16.98,14.72,99.23,14.61,"['アデミウソン', 'OG']",宮本　恒靖
4,2019-03-17,(日),川崎Ｆ,7,1-0,1,0,1,1,等々力,23982,晴一時曇,48,32,0.074,9,0.111,0.459,12.99,11.17,98.37,17.45,['三浦'],宮本　恒靖
5,2019-03-03,(土),神戸,15,3-4,3,4,2,0,パナスタ,37076,雨,68,45,0.171,20,0.15,0.467,23.63,17.77,71.6,13.21,"['アデミウソン', 'ファンウィジョ', '倉田']",宮本　恒靖
6,2019-04-06,(土),広島,16,0-3,0,3,2,1,Ｅスタ,13331,晴,49,42,0.085,10,0.0,0.656,23.63,21.59,94.74,11.22,[''],宮本　恒靖
7,2019-04-14,(日),浦和,4,0-1,0,1,2,0,パナスタ,27870,雨,51,47,0.109,13,0.0,0.555,15.75,12.64,76.35,13.49,[''],宮本　恒靖
8,2019-04-02,(土),大分,18,1-1,1,1,0,0,パナスタ,17727,晴,57,83,0.217,20,0.05,0.41,17.37,15.45,56.91,9.38,['遠藤'],宮本　恒靖
9,2019-04-28,(日),仙台,2,1-2,1,2,2,1,ユアスタ,16004,晴,60,42,0.076,10,0.1,0.495,18.27,12.35,74.23,17.38,['金英權'],宮本　恒靖
10,2019-05-04,(土),FC東京,6,0-0,0,0,0,0,パナスタ,33905,晴,55,44,0.159,18,0.0,0.626,18.3,14.86,74.61,12.1,[''],宮本　恒靖
11,2019-05-11,(土),鳥栖,17,1-3,1,3,2,1,駅スタ,14789,晴,44,45,0.05,6,0.167,0.521,13.26,11.07,65.71,10.8,['食野亮'],宮本　恒靖
12,2019-05-18,(土),Ｃ大阪,14,1-0,1,0,1,0,パナスタ,35861,曇,48,42,0.092,11,0.091,0.51,15.38,12.69,111.5,17.35,['倉田'],宮本　恒靖
13,2019-05-25,(土),札幌,1,0-0,0,0,0,1,札幌ド,15690,屋内,37,38,0.069,7,0.0,0.472,13.95,12.54,77.23,15.4,[''],宮本　恒靖
14,2019-06-01,(土),鹿島,3,1-1,1,1,0,0,パナスタ,30495,晴,46,36,0.075,8,0.125,0.535,17.6,14.2,88.2,12.79,['食野亮'],宮本　恒靖
15,2019-06-15,(土),磐田,0,0-0,0,0,0,1,ヤマハ,12352,雨,46,33,0.124,15,0.0,0.552,19.61,13.55,81.59,15.16,[''],宮本　恒靖
16,2019-06-22,(土),湘南,10,1-0,1,0,1,0,パナスタ,19162,曇,54,42,0.162,18,0.056,0.664,24.31,20.68,69.18,10.78,['食野亮'],宮本　恒靖
17,2019-06-29,(土),松本,0,3-1,3,1,1,1,サンアル,15690,曇のち雨,41,44,0.133,17,0.176,0.624,18.53,14.97,70.18,12.64,"['倉田', 'ファンウィジョx2']",宮本　恒靖
18,2019-07-07,(日),FC東京,6,1-3,1,3,2,1,味スタ,28209,雨,73,40,0.095,11,0.091,0.557,26.34,18.95,81.31,15.12,['小野瀬'],宮本　恒靖
19,2019-07-13,(土),清水,11,1-0,1,0,1,0,パナスタ,25719,雨,57,48,0.193,21,0.048,0.575,25.06,17.4,87.98,15.92,['矢島'],宮本　恒靖
20,2019-07-02,(土),名古屋,12,2-2,2,2,0,1,豊田ス,42975,曇,45,47,0.107,9,0.222,0.529,20.32,18.02,63.23,11.75,"['アデミウソン', '宇佐美']",宮本　恒靖
21,2019-08-02,(金),神戸,15,2-2,2,2,0,1,ノエスタ,21276,晴,51,38,0.126,14,0.143,0.428,15.77,11.0,67.37,18.22,"['倉田', 'パトリック']",宮本　恒靖
22,2019-08-01,(土),広島,16,1-1,1,1,0,0,パナスタ,30476,晴,55,55,0.198,20,0.05,0.608,24.85,20.94,87.73,11.81,['倉田'],宮本　恒靖
23,2019-08-18,(日),磐田,0,1-1,1,1,0,0,パナスタ,37334,晴,68,49,0.152,16,0.063,0.631,31.72,24.26,78.17,13.37,['小野瀬'],宮本　恒靖
24,2019-08-23,(金),鹿島,3,2-2,2,2,0,1,カシマ,16063,曇,46,43,0.124,11,0.182,0.484,12.9,11.36,64.65,13.73,"['アデミウソン', 'パトリック']",宮本　恒靖
25,2019-08-31,(土),横浜FM,8,1-3,1,3,2,1,ニッパツ,13590,晴,51,45,0.085,9,0.111,0.35,11.11,8.04,87.87,17.06,['小野瀬'],宮本　恒靖
26,2019-09-14,(土),鳥栖,17,1-0,1,0,1,0,パナスタ,23287,晴,42,45,0.106,13,0.077,0.564,17.12,14.67,86.89,15.28,['渡邉'],宮本　恒靖
27,2019-09-28,(土),Ｃ大阪,14,1-3,1,3,2,1,ヤンマー,36990,曇のち晴,66,52,0.168,19,0.0,0.568,22.09,19.96,84.14,6.31,['OG'],宮本　恒靖
28,2019-10-04,(金),札幌,1,5-0,5,0,1,0,パナスタ,20554,曇,55,49,0.196,21,0.238,0.495,21.3,16.15,84.8,20.67,"['倉田', '宇佐美', 'アデミウソン', '藤春', '渡邉']",宮本　恒靖
29,2019-10-19,(土),川崎Ｆ,7,2-2,2,2,0,0,パナスタ,25748,曇一時雨,44,47,0.165,15,0.133,0.42,16.01,13.53,101.96,16.4,"['渡邉', '倉田']",宮本　恒靖
30,2019-11-03,(日),湘南,10,3-0,3,0,1,1,ＢＭＷス,13570,曇,56,49,0.175,18,0.167,0.509,20.26,17.4,74.63,14.51,"['小野瀬', '宇佐美x2']",宮本　恒靖
31,2019-11-01,(日),大分,18,1-2,1,2,2,1,昭和電ド,17022,晴,47,61,0.179,17,0.059,0.567,20.53,17.32,80.17,8.6,['宇佐美'],宮本　恒靖
32,2019-11-23,(土),仙台,2,2-0,2,0,1,0,パナスタ,26256,晴,68,53,0.182,20,0.1,0.624,33.91,25.86,92.97,11.61,"['宇佐美', 'アデミウソン']",宮本　恒靖
33,2019-11-03,(土),松本,0,4-1,4,1,1,0,パナスタ,25635,晴,52,35,0.195,23,0.174,0.614,26.87,21.91,94.87,16.94,"['小野瀬', '井手口x2', 'アデミウソン']",宮本　恒靖
34,2019-12-07,(土),浦和,4,3-2,3,2,1,1,埼玉,47188,曇,52,49,0.165,18,0.167,0.528,18.61,15.12,88.67,13.34,"['宇佐美', 'アデミウソン', '福田']",宮本　恒靖
