team,Hs,Hg,As,Ag
sapp,1.4285714285714286,1.7142857142857142,1.0909090909090908,1.9090909090909092
send,0.75,1.8333333333333333,0.9230769230769231,2.076923076923077
kasm,1.5,1.3333333333333333,1.3076923076923077,1.3076923076923077
uraw,1.3076923076923077,1.3076923076923077,1.6666666666666667,1.6666666666666667
kasw,2.0,1.7692307692307692,1.6666666666666667,1.1666666666666667
fctk,1.6363636363636365,1.1818181818181819,1.5,1.2142857142857142
ka-f,2.8461538461538463,0.8461538461538461,2.75,0.75
y-fm,2.1538461538461537,1.4615384615384615,1.6666666666666667,1.9166666666666667
y-fc,1.1818181818181819,1.9090909090909092,1.0714285714285714,1.8571428571428572
shon,0.6153846153846154,1.0769230769230769,1.0833333333333333,2.0833333333333335
shim,1.75,2.25,0.7692307692307693,2.076923076923077
nago,1.9166666666666667,0.9166666666666666,1.1538461538461537,1.0
g-os,1.3076923076923077,1.2307692307692308,1.6666666666666667,0.9166666666666666
c-os,1.4166666666666667,0.75,1.5384615384615385,1.4615384615384615
kobe,1.7692307692307692,1.8461538461538463,1.6666666666666667,1.6666666666666667
hiro,1.8333333333333333,1.1666666666666667,1.1538461538461537,1.0769230769230769
tosu,1.0769230769230769,1.2307692307692308,1.0833333333333333,1.5
oita,0.7692307692307693,1.1538461538461537,1.3333333333333333,1.6666666666666667
