節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
1,2019-02-24,(日),鹿児島,3-4,3,4,2,1,白波スタ,7483,雨,58,44,0.148,17,0.176,0.671,21.82,17.91,86.89,6.57,"['ヨルディバイス', '岸本', '清武']",リカルド　ロドリゲス
2,2019-03-03,(日),岐阜,1-0,1,0,1,0,鳴門大塚,7898,曇,65,55,0.113,16,0.063,0.533,17.44,12.02,104.61,9.22,['清武'],リカルド　ロドリゲス
3,2019-03-01,(日),大宮,0-1,0,1,2,0,鳴門大塚,3870,曇,33,37,0.068,8,0.0,0.58,13.04,10.69,81.81,17.17,[''],リカルド　ロドリゲス
4,2019-03-16,(土),琉球,1-2,1,2,2,1,タピスタ,3460,曇,61,53,0.116,15,0.067,0.512,19.7,15.49,94.76,10.18,['内田航'],リカルド　ロドリゲス
5,2019-03-24,(日),東京Ｖ,1-1,1,1,0,0,鳴門大塚,4851,晴,53,63,0.129,15,0.067,0.45,14.43,11.81,79.58,14.13,['岸本'],リカルド　ロドリゲス
6,2019-03-03,(土),新潟,1-0,1,0,1,0,鳴門大塚,4088,雨,40,55,0.063,9,0.111,0.51,13.07,12.26,99.5,17.55,['岸本'],リカルド　ロドリゲス
7,2019-04-03,(水),山口,2-1,2,1,1,1,みらスタ,3806,曇,45,42,0.132,17,0.118,0.516,17.0,12.16,85.29,15.11,"['清武', '小西']",リカルド　ロドリゲス
8,2019-04-07,(日),水戸,1-1,1,1,0,1,Ｋｓスタ,5359,晴時々曇,46,54,0.077,10,0.1,0.598,14.94,12.09,93.14,12.49,['ヨルディバイス'],リカルド　ロドリゲス
9,2019-04-14,(日),愛媛,1-1,1,1,0,0,鳴門大塚,5386,雨,49,64,0.102,12,0.083,0.572,18.19,13.42,71.97,10.3,['押谷'],リカルド　ロドリゲス
10,2019-04-02,(土),岡山,1-2,1,2,2,1,Ｃスタ,7720,晴,56,45,0.087,12,0.083,0.57,17.6,15.1,71.15,13.14,['清武'],リカルド　ロドリゲス
11,2019-04-28,(日),京都,0-0,0,0,0,1,西京極,9333,曇,55,37,0.094,11,0.0,0.433,16.84,9.52,71.07,12.51,[''],リカルド　ロドリゲス
12,2019-05-05,(日),栃木,3-2,3,2,1,0,鳴門大塚,5778,晴,49,60,0.097,13,0.231,0.663,19.75,16.23,113.85,10.17,"['清武', 'ヨルディバイス', '岩尾']",リカルド　ロドリゲス
13,2019-05-12,(日),柏,0-1,0,1,2,1,三協Ｆ柏,7785,晴,51,38,0.099,13,0.0,0.599,21.15,19.18,74.77,15.34,[''],リカルド　ロドリゲス
14,2019-05-19,(日),山形,1-1,1,1,0,0,鳴門大塚,5207,曇,40,39,0.067,8,0.125,0.397,6.27,5.94,69.89,18.73,['内田裕'],リカルド　ロドリゲス
15,2019-05-25,(土),長崎,0-1,0,1,2,1,トラスタ,6113,晴のち曇,65,72,0.228,23,0.0,0.675,29.13,21.46,72.2,6.55,[''],リカルド　ロドリゲス
16,2019-06-02,(日),金沢,0-0,0,0,0,1,石川西部,3163,曇,53,42,0.125,14,0.0,0.621,13.81,11.58,50.51,16.04,[''],リカルド　ロドリゲス
17,2019-06-08,(土),町田,1-0,1,0,1,0,鳴門大塚,4181,晴,38,30,0.069,9,0.111,0.569,9.41,7.54,77.45,21.09,['河田'],リカルド　ロドリゲス
18,2019-06-15,(土),横浜FC,2-1,2,1,1,1,ニッパツ,2111,雨のち曇,51,50,0.109,12,0.167,0.444,12.04,8.77,90.03,13.67,"['野村', '渡井']",リカルド　ロドリゲス
19,2019-06-22,(土),福岡,2-1,2,1,1,0,鳴門大塚,5415,晴,38,54,0.164,19,0.105,0.509,10.01,9.01,92.42,12.67,"['岸本', '杉本']",リカルド　ロドリゲス
20,2019-06-29,(土),甲府,1-0,1,0,1,1,中銀スタ,7111,曇,36,41,0.056,6,0.167,0.493,8.22,7.04,72.48,13.79,['岩尾'],リカルド　ロドリゲス
21,2019-07-07,(日),千葉,1-1,1,1,0,0,鳴門大塚,4951,晴,57,55,0.176,18,0.056,0.716,21.31,15.74,67.87,7.09,['渡井'],リカルド　ロドリゲス
22,2019-07-13,(土),柏,1-2,1,2,2,0,鳴門大塚,7211,雨,55,46,0.14,16,0.063,0.561,14.79,12.25,49.53,11.77,['渡井'],リカルド　ロドリゲス
23,2019-07-21,(日),町田,3-0,3,0,1,1,町田,7398,曇,44,34,0.079,10,0.3,0.605,10.65,9.7,68.96,14.5,"['鈴木徳', 'ヨルディバイス', '小西']",リカルド　ロドリゲス
24,2019-07-27,(土),山形,1-3,1,3,2,1,ＮＤスタ,6026,雨のち曇,21,45,0.056,5,0.2,0.469,10.78,8.88,49.31,10.83,['岩尾'],リカルド　ロドリゲス
25,2019-07-31,(水),鹿児島,5-2,5,2,1,0,鳴門大塚,4049,晴,56,47,0.189,17,0.294,0.582,21.96,17.11,86.05,9.78,"['岩尾', '野村', '河田x2', '押谷']",リカルド　ロドリゲス
26,2019-08-04,(日),新潟,0-4,0,4,2,1,デンカＳ,13445,晴,58,51,0.138,15,0.0,0.621,24.39,20.54,75.45,10.83,[''],リカルド　ロドリゲス
27,2019-08-01,(土),甲府,0-2,0,2,2,0,鳴門大塚,4987,晴,49,40,0.07,7,0.0,0.594,16.43,15.42,68.32,11.46,[''],リカルド　ロドリゲス
28,2019-08-17,(土),福岡,1-0,1,0,1,1,レベスタ,6014,晴,46,68,0.096,9,0.111,0.537,18.22,15.82,56.76,10.72,['清武'],リカルド　ロドリゲス
29,2019-08-24,(土),琉球,6-1,6,1,1,0,鳴門大塚,4567,曇,44,56,0.207,18,0.278,0.533,16.08,11.22,67.17,11.77,"['ヨルディバイス', '河田x3', '押谷', 'OG']",リカルド　ロドリゲス
30,2019-08-31,(土),京都,2-1,2,1,1,0,鳴門大塚,5109,雨のち曇,48,49,0.135,13,0.154,0.502,17.07,15.16,67.26,10.71,"['渡井', '杉本']",リカルド　ロドリゲス
31,2019-09-08,(日),愛媛,1-0,1,0,1,1,ニンスタ,6903,曇,49,51,0.152,15,0.067,0.578,18.88,16.07,68.06,10.7,['野村'],リカルド　ロドリゲス
32,2019-09-14,(土),長崎,1-1,1,1,0,0,鳴門大塚,5285,晴,47,49,0.142,15,0.067,0.52,18.41,14.93,68.99,13.6,['渡井'],リカルド　ロドリゲス
33,2019-09-22,(日),千葉,1-1,1,1,0,1,フクアリ,8630,曇,45,30,0.17,16,0.063,0.596,19.21,14.79,57.32,17.93,['藤田'],リカルド　ロドリゲス
34,2019-09-28,(土),金沢,2-0,2,0,1,0,鳴門大塚,4710,曇,44,59,0.144,16,0.125,0.668,24.45,18.66,75.83,8.65,"['野村', 'ヨルディバイス']",リカルド　ロドリゲス
35,2019-10-06,(日),栃木,1-1,1,1,0,1,栃木グ,4685,曇のち晴,35,46,0.043,5,0.2,0.763,21.48,16.05,56.34,9.89,['岩尾'],リカルド　ロドリゲス
36,2019-10-13,(日),岡山,2-1,2,1,1,0,鳴門大塚,7036,晴,53,57,0.1,12,0.167,0.539,17.07,12.33,69.14,12.91,"['河田', '渡井']",リカルド　ロドリゲス
37,2019-10-19,(土),大宮,3-2,3,2,1,1,熊谷陸,9407,曇,42,51,0.133,12,0.25,0.573,13.97,12.31,48.3,11.39,"['石井', '野村', '内田裕']",リカルド　ロドリゲス
38,2019-10-27,(日),水戸,2-1,2,1,1,0,鳴門大塚,6029,晴,48,56,0.127,14,0.143,0.688,18.0,14.67,70.79,10.13,"['河田', '野村']",リカルド　ロドリゲス
39,2019-11-02,(土),岐阜,7-0,7,0,1,1,長良川,7419,晴,48,45,0.132,14,0.5,0.591,20.51,16.35,63.98,15.11,"['ヨルディバイス', '杉本', '岩尾', '河田x2', '野村', '押谷']",リカルド　ロドリゲス
40,2019-11-01,(日),横浜FC,0-1,0,1,2,0,鳴門大塚,10526,晴,47,55,0.126,11,0.0,0.563,15.81,11.47,57.66,10.23,[''],リカルド　ロドリゲス
41,2019-11-16,(土),東京Ｖ,2-1,2,1,1,1,味スタ,7770,晴,49,39,0.107,9,0.222,0.414,14.47,12.7,62.87,18.58,"['杉本', '河田']",リカルド　ロドリゲス
42,2019-11-24,(日),山口,3-0,3,0,1,0,鳴門大塚,9326,曇,43,65,0.096,10,0.3,0.531,15.87,13.01,72.57,12.27,"['河田x2', '田向']",リカルド　ロドリゲス
