,oita-trinita,omiya-ardija
Shots,7,8
ShotsOnTarget,1,4
ShotsFromPK,0,0
Passes,421,453
Crosses,15,23
DirectFK,12,21
IndirectFK,6,7
CK,4,7
Throwin,18,23
Dribbling,9,10
Tackles,18,17
Clearances,25,11
Intercepts,4,3
Offsides,7,4
YellowCards,3,1
RedCards,0,0
30mLineEntries,28,36
PenaltyAreaEntries,5,18
Attacks,125,131
ChanceBuildingRate,5.6,6.1
Possession,48.3,51.7
